Trace File Name, Cache Size (KB), Block Size (bytes), Associativity, Replacement Policy, Total Blocks (KB), Total Blocks Exponent (2^X), Tag Size (bits), Index Size (bits), Total Indicies (KB), Overhead Memory Size (KB), Implementation Memory Size (KB), Cache Hit Rate %, CPI
"TestTrace.trc", 1024, 16, 2, RR, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 93.33, 15.0
"TestTrace.trc", 1024, 16, 2, RND, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 93.72, 12.108695652173912
"TestTrace.trc", 1024, 64, 2, RR, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 98.12, 35.78260869565217
"TestTrace.trc", 1024, 64, 2, RND, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 98.12, 31.17391304347826
"Corruption1.trc", 8, 4, 2, RR, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 90.08, 6.875733333333334
"Corruption1.trc", 8, 4, 2, RND, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 90.77, 5.438133333333333
"Corruption1.trc", 8, 16, 2, RR, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 96.49, 8.4944
"Corruption1.trc", 8, 16, 2, RND, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 96.57, 6.5728
"Corruption1.trc", 8, 64, 2, RR, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 98.74, 12.594
"Corruption1.trc", 8, 64, 2, RND, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 98.77, 9.426533333333333
"Corruption1.trc", 64, 4, 2, RR, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 88.02, 7.265866666666667
"Corruption1.trc", 64, 4, 2, RND, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 89.50, 5.702466666666667
"Corruption1.trc", 64, 16, 2, RR, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 96.01, 9.301733333333333
"Corruption1.trc", 64, 16, 2, RND, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 96.15, 7.13
"Corruption1.trc", 64, 64, 2, RR, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 98.76, 12.422933333333333
"Corruption1.trc", 64, 64, 2, RND, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 98.78, 9.350666666666667
"Corruption1.trc", 256, 4, 2, RR, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 87.99, 7.3704
"Corruption1.trc", 256, 4, 2, RND, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 89.05, 5.7796666666666665
